Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
COBL450,All Men's,Shoe,The Court - Nero,12 Black,179.00,Yes,https://www.greats.com/products/the-court-nero,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Nero-COBL-Product-101.jpg?v=1554407553,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COBL460,All Men's,Shoe,The Court - Nero,13 Black,179.00,Yes,https://www.greats.com/products/the-court-nero,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Nero-COBL-Product-101.jpg?v=1554407553,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COBL470,All Men's,Shoe,The Court - Nero,14 Black,179.00,Yes,https://www.greats.com/products/the-court-nero,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Nero-COBL-Product-101.jpg?v=1554407553,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
3RMW400,All Men's,Shoe,The Royale - Blanco,7 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
2RMW410,All Men's,Shoe,The Royale - Blanco,8 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW415,All Men's,Shoe,The Royale - Blanco,8.5 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW420,All Men's,Shoe,The Royale - Blanco,9 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW425,All Men's,Shoe,The Royale - Blanco,9.5 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW430,All Men's,Shoe,The Royale - Blanco,10 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
2RMW435,All Men's,Shoe,The Royale - Blanco,10.5 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
